dataset,function_name,spectral_radius_mean,spectral_radius_std,pearson_mean,pearson_std,CEVD_mean,CEVD_std,dcor_mean,dcor_std,inter_dists_mean,inter_dists_std,intra_dists_mean,intra_dists_std,separability_ratios_mean,separability_ratios_std,silhouette_mean,silhouette_std,davies_bouldin_mean,davies_bouldin_std,calinski_harabasz_mean,calinski_harabasz_std
MackeyGlass,hadsp,0.94566,0.00848,0.50894,0.00216,6.0,0.0,0.53274,0.00118,,,,,,,,,,,,
MackeyGlass,ip-anti-oja_fast,0.43959,0.00365,0.44183,0.01038,7.75,0.43301,0.45325,0.00482,,,,,,,,,,,,
MackeyGlass,ip_correct,0.39728,0.00669,0.46504,0.00994,7.0,0.0,0.48475,0.00929,,,,,,,,,,,,
MackeyGlass,random_ee,0.4,0.0,0.75296,0.00761,3.5,0.5,0.74065,0.00401,,,,,,,,,,,,
MackeyGlass,random_ei,0.40268,0.00253,0.45254,0.00694,7.0,0.0,0.47862,0.00333,,,,,,,,,,,,
SPEECHCOMMANDS,anti-oja_fast,1.1317,0.01111,0.27729,0.08756,18.0,6.20484,0.29108,0.1181,0.52065,0.18966,9.54261,0.75627,0.05509,0.02223,-0.01886,0.00666,54.54682,27.12121,1.02656,0.79211
SPEECHCOMMANDS,desp,1.97869,0.03244,0.50867,0.00727,12.25,0.43301,0.58709,0.00743,0.10418,0.00356,0.38501,0.01294,0.27059,0.00046,-0.09942,0.00166,16.4533,0.31716,19.99223,0.16541
SPEECHCOMMANDS,hadsp,1.00746,0.00017,0.61306,0.0027,9.0,0.0,0.66123,0.00143,0.07675,0.00153,0.31528,0.00709,0.24344,0.00104,-0.10421,0.00055,19.4044,0.14862,15.45064,0.17231
SPEECHCOMMANDS,ip-anti-oja_fast,1.21854,0.00799,0.34574,0.08381,9.75,4.43706,0.41583,0.12419,0.22011,0.18079,3.36559,1.04547,0.05614,0.03313,-0.03935,0.01425,147.50177,160.49016,1.24118,1.27977
SPEECHCOMMANDS,ip_correct,1.60711,0.04165,0.2563,0.07034,28.25,13.82706,0.23759,0.11483,0.29007,0.02951,5.34226,0.46392,0.05445,0.00481,-0.01492,0.00213,36.16141,3.21926,0.83812,0.14366
SPEECHCOMMANDS,random_ee,1.0,0.0,0.99414,0.00046,1.0,0.0,0.99262,0.00044,0.1382,0.00187,0.54021,0.01015,0.25585,0.00154,-0.20714,0.00106,157.94043,8.25452,15.64264,0.15423
SPEECHCOMMANDS,random_ei,1.18877,0.01224,0.38587,0.05143,22.5,18.44587,0.40065,0.1684,0.43311,0.21603,9.37108,5.11221,0.07131,0.04618,-0.03494,0.03276,44.03437,15.00642,1.8987,2.28291
SpokenArabicDigits,anti-oja_fast,1.01441,0.01748,0.3943,0.11684,14.25,11.77657,0.37094,0.12544,0.23177,0.08537,1.92493,1.18467,0.16403,0.08292,-0.03618,0.0126,18.87516,7.80626,7.18515,7.51282
SpokenArabicDigits,desp,2.37939,0.01246,0.27859,0.00404,10.25,0.43301,0.31605,0.00108,0.15355,0.00497,0.25015,0.0071,0.61381,0.01041,0.00678,0.00135,5.41494,0.09852,82.24957,3.06682
SpokenArabicDigits,hadsp,1.0001,0.00181,0.49636,0.02137,9.0,0.0,0.3102,0.0001,0.22466,0.01223,0.3474,0.01536,0.6464,0.00755,0.00697,0.00091,5.14342,0.07478,90.28276,2.44762
SpokenArabicDigits,ip-anti-oja_fast,1.59958,0.01871,0.29273,0.09039,24.25,7.98044,0.36296,0.2024,0.83704,0.12534,2.75992,1.10092,0.35996,0.14624,-0.03024,0.01464,8.59785,2.81665,34.11178,27.20088
SpokenArabicDigits,ip_correct,1.3783,0.0094,0.41418,0.18687,12.75,14.16642,0.38618,0.16112,0.34446,0.01923,4.11371,0.56283,0.08634,0.01913,-0.04791,0.01336,37.89974,6.14021,1.39336,0.4097
SpokenArabicDigits,random_ee,1.00575,0.00441,0.43909,0.00649,10.25,0.43301,0.44961,0.01552,0.0218,0.00337,0.03864,0.00386,0.56155,0.03249,-0.05369,0.00336,9.02264,0.76538,78.59539,7.91689
SpokenArabicDigits,random_ei,1.02515,0.01211,0.61646,0.12828,7.0,8.66025,0.54886,0.15917,0.28337,0.14781,3.50209,2.13707,0.18208,0.17978,-0.04618,0.0247,51.91902,34.06347,12.56005,19.71853
Sunspot_daily,anti-oja_fast,0.52464,0.00595,0.33943,0.00347,13.0,0.0,0.39141,0.00288,,,,,,,,,,,,
Sunspot_daily,desp,1.53525,0.02417,0.49392,0.0104,13.75,0.43301,0.52959,0.01003,,,,,,,,,,,,
Sunspot_daily,hadsp,1.12388,0.0029,0.72834,0.0097,6.75,0.43301,0.53033,0.00201,,,,,,,,,,,,
Sunspot_daily,ip-anti-oja_fast,0.43085,0.00946,0.32732,0.00479,13.0,0.0,0.37658,0.01416,,,,,,,,,,,,
Sunspot_daily,ip_correct,0.44672,0.00562,0.38953,0.00736,12.0,0.0,0.43617,0.00915,,,,,,,,,,,,
Sunspot_daily,random_ee,1.38,0.0,0.95943,0.00203,1.0,0.0,0.84565,0.00248,,,,,,,,,,,,
Sunspot_daily,random_ei,0.5505,0.00743,0.38404,0.02094,12.75,0.43301,0.44623,0.00958,,,,,,,,,,,,
